peptide_id,sequence,ml_score,prediction
pep_00002,,0.59,Allergen
pep_00003,,0.525,Allergen
pep_00004,,0.606,Allergen
pep_00005,,0.574,Allergen
pep_00006,,0.518,Allergen
pep_00007,,0.43,Allergen
pep_00008,,0.498,Allergen
pep_00009,,0.422,Allergen
pep_00010,,0.442,Allergen
pep_00011,,0.609,Allergen
pep_00012,,0.515,Allergen
pep_00013,,0.337,Allergen
pep_00014,,0.358,Allergen
pep_00015,,0.559,Allergen
pep_00016,,0.506,Allergen
pep_00017,,0.59,Allergen
pep_00018,,0.489,Allergen
pep_00019,,0.469,Allergen
pep_00020,,0.587,Allergen
pep_00021,,0.363,Allergen
pep_00022,,0.434,Allergen
pep_00023,,0.411,Allergen
pep_00024,,0.526,Allergen
pep_00025,,0.355,Allergen
pep_00026,,0.358,Allergen
pep_00027,,0.46,Allergen
pep_00028,,0.437,Allergen
pep_00029,,0.525,Allergen
pep_00030,,0.466,Allergen
pep_00031,,0.461,Allergen
pep_00032,,0.445,Allergen
pep_00033,,0.433,Allergen
pep_00034,,0.36,Allergen
pep_00035,,0.399,Allergen
pep_00036,,0.362,Allergen
pep_00037,,0.343,Allergen
pep_00038,,0.508,Allergen
pep_00039,,0.499,Allergen
pep_00040,,0.331,Allergen
pep_00041,,0.343,Allergen
pep_00042,,0.43,Allergen
pep_00043,,0.421,Allergen
pep_00044,,0.606,Allergen
pep_00045,,0.489,Allergen
pep_00046,,0.461,Allergen
pep_00047,,0.518,Allergen
pep_00048,,0.498,Allergen
pep_00049,,0.48,Allergen
pep_00052,,0.382,Allergen
pep_00053,,0.375,Allergen
pep_00054,,0.608,Allergen
pep_00055,,0.547,Allergen
pep_00056,,0.366,Allergen
pep_00057,,0.36,Allergen
pep_00058,,0.495,Allergen
pep_00059,,0.46,Allergen
pep_00060,,0.574,Allergen
pep_00061,,0.587,Allergen
pep_00062,,0.445,Allergen
pep_00063,,0.498,Allergen
pep_00064,,0.51,Allergen
pep_00065,,0.445,Allergen
pep_00066,,0.437,Allergen
pep_00067,,0.399,Allergen
pep_00068,,0.383,Allergen
pep_00069,,0.419,Allergen
pep_00070,,0.531,Allergen
pep_00071,,0.532,Allergen
pep_00072,,0.361,Allergen
pep_00073,,0.385,Allergen
pep_00074,,0.534,Allergen
pep_00075,,0.449,Allergen
pep_00076,,0.518,Allergen
pep_00077,,0.48,Allergen
pep_00078,,0.445,Allergen
pep_00079,,0.478,Allergen
pep_00080,,0.368,Allergen
pep_00081,,0.404,Allergen
pep_00082,,0.338,Allergen
pep_00083,,0.563,Allergen
pep_00084,,0.522,Allergen
pep_00085,,0.33,Allergen
pep_00086,,0.358,Allergen
pep_00087,,0.448,Allergen
pep_00088,,0.436,Allergen
pep_00089,,0.36,Allergen
pep_00090,,0.368,Allergen
